Classification,Year,Month,TimeSeriesOrder,Stock
Household Stock,2019,January,201901,1247.58
Household Stock,2019,February,201902,1032.42
Household Stock,2019,March,201903,1033.64
Household Stock,2019,April,201904,1177.61
Household Stock,2019,May,201905,1265.47
Household Stock,2019,June,201906,1049.05
Household Stock,2019,July,201907,1008.66
Household Stock,2019,August,201908,792.66
Household Stock,2019,September,201909,673.1
Household Stock,2019,October,201910,1052.47
Household Stock,2019,November,201911,1526.69
Household Stock,2019,December,201912,1607.64
Household Stock,2020,January,202001,1198.47
Household Stock,2020,February,202002,1045.67
Household Stock,2020,March,202003,981.02
Household Stock,2020,April,202004,1243.01
Household Stock,2020,May,202005,1519.95
Household Stock,2020,June,202006,1256.21
Household Stock,2020,July,202007,1073.65
Household Stock,2020,August,202008,852.46
Household Stock,2020,September,202009,848.36
Household Stock,2020,October,202010,1450.02
Household Stock,2020,November,202011,1809.4
Household Stock,2020,December,202012,1618.71
Household Stock,2021,January,202101,1289.51
Household Stock,2021,February,202102,1181.68
Household Stock,2021,March,202103,1230.13
Household Stock,2021,April,202104,1464.98
Household Stock,2021,May,202105,1425.1
Household Stock,2021,June,202106,1132.46
Household Stock,2021,July,202107,985.55
Household Stock,2021,August,202108,751.07
Household Stock,2021,September,202109,638.16
Household Stock,2021,October,202110,1059.68
Household Stock,2021,November,202111,1332.37
Household Stock,2021,December,202112,1296.97
Household Stock,2022,January,202201,991.56
Household Stock,2022,February,202202,882.74
Household Stock,2022,March,202203,864.92
Household Stock,2022,April,202204,1372.83
Household Stock,2022,May,202205,1240.22
Household Stock,2022,June,202206,1049.49
Household Stock,2022,July,202207,1064.25
Household Stock,2022,August,202208,791.55
Household Stock,2022,September,202209,710.34
Household Stock,2022,October,202210,1172.68
Household Stock,2022,November,202211,1491.32
Household Stock,2022,December,202212,1476.28
Household Stock,2023,January,202301,1083.61
Household Stock,2023,February,202302,877.03
Household Stock,2023,March,202303,811.52
Household Stock,2023,April,202304,1015.29
Household Stock,2023,May,202305,993.97
Household Stock,2023,June,202306,885
Household Stock,2023,July,202307,758.56
Household Stock,2023,August,202308,636.41
Household Stock,2023,September,202309,600.17
Household Stock,2023,October,202310,917.84
Household Stock,2023,November,202311,1017.22
Household Stock,2023,December,202312,986.78
Household Stock,2024,January,202401,1000.5
Household Stock,2024,February,202402,685.2
Commercial Stock,2019,January,201901,1205.21
Commercial Stock,2019,February,201902,811.2
Commercial Stock,2019,March,201903,695.84
Commercial Stock,2019,April,201904,875.24
Commercial Stock,2019,May,201905,1123.81
Commercial Stock,2019,June,201906,998.23
Commercial Stock,2019,July,201907,1099.67
Commercial Stock,2019,August,201908,880.15
Commercial Stock,2019,September,201909,759.74
Commercial Stock,2019,October,201910,832.54
Commercial Stock,2019,November,201911,981.69
Commercial Stock,2019,December,201912,1009.72
Commercial Stock,2020,January,202001,951.63
Commercial Stock,2020,February,202002,841.15
Commercial Stock,2020,March,202003,715.81
Commercial Stock,2020,April,202004,709.55
Commercial Stock,2020,May,202005,940.89
Commercial Stock,2020,June,202006,891.4
Commercial Stock,2020,July,202007,808.55
Commercial Stock,2020,August,202008,729.95
Commercial Stock,2020,September,202009,744
Commercial Stock,2020,October,202010,951.18
Commercial Stock,2020,November,202011,963.52
Commercial Stock,2020,December,202012,794.71
Commercial Stock,2021,January,202101,689.96
Commercial Stock,2021,February,202102,708.94
Commercial Stock,2021,March,202103,584.66
Commercial Stock,2021,April,202104,738.16
Commercial Stock,2021,May,202105,918.67
Commercial Stock,2021,June,202106,1173.28
Commercial Stock,2021,July,202107,986.31
Commercial Stock,2021,August,202108,648.4
Commercial Stock,2021,September,202109,543.02
Commercial Stock,2021,October,202110,728.69
Commercial Stock,2021,November,202111,841.74
Commercial Stock,2021,December,202112,831.17
Commercial Stock,2022,January,202201,659.56
Commercial Stock,2022,February,202202,545.27
Commercial Stock,2022,March,202203,611.33
Commercial Stock,2022,April,202204,997.42
Commercial Stock,2022,May,202205,880.94
Commercial Stock,2022,June,202206,865.64
Commercial Stock,2022,July,202207,809.83
Commercial Stock,2022,August,202208,707.2
Commercial Stock,2022,September,202209,628.16
Commercial Stock,2022,October,202210,798.12
Commercial Stock,2022,November,202211,1038.01
Commercial Stock,2022,December,202212,933.01
Commercial Stock,2023,January,202301,651.93
Commercial Stock,2023,February,202302,541.21
Commercial Stock,2023,March,202303,494.25
Commercial Stock,2023,April,202304,728.73
Commercial Stock,2023,May,202305,787.97
Commercial Stock,2023,June,202306,848.11
Commercial Stock,2023,July,202307,984.76
Commercial Stock,2023,August,202308,945.1
Commercial Stock,2023,September,202309,902.29
Commercial Stock,2023,October,202310,897.05
Commercial Stock,2023,November,202311,901.11
Commercial Stock,2023,December,202312,851.88
Commercial Stock,2024,January,202401,978
Commercial Stock,2024,February,202402,778.89
NFA Stock,2019,January,201901,97.91
NFA Stock,2019,February,201902,297.62
NFA Stock,2019,March,201903,491.94
NFA Stock,2019,April,201904,576.18
NFA Stock,2019,May,201905,558.14
NFA Stock,2019,June,201906,551.06
NFA Stock,2019,July,201907,516.92
NFA Stock,2019,August,201908,461.03
NFA Stock,2019,September,201909,409.53
NFA Stock,2019,October,201910,394.71
NFA Stock,2019,November,201911,454.08
NFA Stock,2019,December,201912,480.66
NFA Stock,2020,January,202001,524.94
NFA Stock,2020,February,202002,488.68
NFA Stock,2020,March,202003,481.81
NFA Stock,2020,April,202004,415.31
NFA Stock,2020,May,202005,318.2
NFA Stock,2020,June,202006,248.33
NFA Stock,2020,July,202007,222.57
NFA Stock,2020,August,202008,203.85
NFA Stock,2020,September,202009,192.47
NFA Stock,2020,October,202010,239.89
NFA Stock,2020,November,202011,385.62
NFA Stock,2020,December,202012,352.98
NFA Stock,2021,January,202101,352.52
NFA Stock,2021,February,202102,302.48
NFA Stock,2021,March,202103,265.32
NFA Stock,2021,April,202104,241.17
NFA Stock,2021,May,202105,241.13
NFA Stock,2021,June,202106,225.09
NFA Stock,2021,July,202107,205.82
NFA Stock,2021,August,202108,178.84
NFA Stock,2021,September,202109,151.17
NFA Stock,2021,October,202110,166.34
NFA Stock,2021,November,202111,244.32
NFA Stock,2021,December,202112,249.71
NFA Stock,2022,January,202201,208.33
NFA Stock,2022,February,202202,181.23
NFA Stock,2022,March,202203,155.87
NFA Stock,2022,April,202204,135.87
NFA Stock,2022,May,202205,158.8
NFA Stock,2022,June,202206,175.49
NFA Stock,2022,July,202207,160.5
NFA Stock,2022,August,202208,134.61
NFA Stock,2022,September,202209,112.38
NFA Stock,2022,October,202210,111.04
NFA Stock,2022,November,202211,120.48
NFA Stock,2022,December,202212,125.3
NFA Stock,2023,January,202301,114.91
NFA Stock,2023,February,202302,104.79
NFA Stock,2023,March,202303,103.07
NFA Stock,2023,April,202304,99.03
NFA Stock,2023,May,202305,100.12
NFA Stock,2023,June,202306,85.1
NFA Stock,2023,July,202307,60.84
NFA Stock,2023,August,202308,50.95
NFA Stock,2023,September,202309,43.64
NFA Stock,2023,October,202310,44.24
NFA Stock,2023,November,202311,60.23
NFA Stock,2023,December,202312,57.13
NFA Stock,2024,January,202401,48.68
NFA Stock,2024,February,202402,46.89
