Classifier,Month,Year,DATE_YEAR,DATE_ID,STOCK
Rice: Total Stock,1,2000,200001,1,2364.5
Rice: Total Stock,2,2000,200002,2,2042.3
Rice: Total Stock,3,2000,200003,3,1765.7
Rice: Total Stock,4,2000,200004,4,1874.9
Rice: Total Stock,5,2000,200005,5,2067
Rice: Total Stock,6,2000,200006,6,1835.9
Rice: Total Stock,7,2000,200007,7,1628.6
Rice: Total Stock,8,2000,200008,8,1373.8
Rice: Total Stock,9,2000,200009,9,1195
Rice: Total Stock,10,2000,200010,10,1485.1
Rice: Total Stock,11,2000,200011,11,2010.8
Rice: Total Stock,12,2000,200012,12,2277.6
Rice: Total Stock,1,2001,200101,13,2166.1
Rice: Total Stock,2,2001,200102,14,1879.4
Rice: Total Stock,3,2001,200103,15,1837.8
Rice: Total Stock,4,2001,200104,16,2110.7
Rice: Total Stock,5,2001,200105,17,2263.3
Rice: Total Stock,6,2001,200106,18,2248
Rice: Total Stock,7,2001,200107,19,2034.9
Rice: Total Stock,8,2001,200108,20,1851.3
Rice: Total Stock,9,2001,200109,21,1719.3
Rice: Total Stock,10,2001,200110,22,1872.6
Rice: Total Stock,11,2001,200111,23,2594.4
Rice: Total Stock,12,2001,200112,24,2598
Rice: Total Stock,1,2002,200201,25,2270.7
Rice: Total Stock,2,2002,200202,26,1975.2
Rice: Total Stock,3,2002,200203,27,1808.2
Rice: Total Stock,4,2002,200204,28,1997.2
Rice: Total Stock,5,2002,200205,29,2113.2
Rice: Total Stock,6,2002,200206,30,1788.9
Rice: Total Stock,7,2002,200207,31,1534.7
Rice: Total Stock,8,2002,200208,32,1313.4
Rice: Total Stock,9,2002,200209,33,1193.1
Rice: Total Stock,10,2002,200210,34,1508.2
Rice: Total Stock,11,2002,200211,35,2575
Rice: Total Stock,12,2002,200212,36,2676
Rice: Total Stock,1,2003,200301,37,2448.1
Rice: Total Stock,2,2003,200302,38,2289.5
Rice: Total Stock,3,2003,200303,39,2068.5
Rice: Total Stock,4,2003,200304,40,2210.3
Rice: Total Stock,5,2003,200305,41,2390.8
Rice: Total Stock,6,2003,200306,42,2097.6
Rice: Total Stock,7,2003,200307,43,1806.1
Rice: Total Stock,8,2003,200308,44,1566.5
Rice: Total Stock,9,2003,200309,45,1399.6
Rice: Total Stock,10,2003,200310,46,1742.4
Rice: Total Stock,11,2003,200311,47,2525
Rice: Total Stock,12,2003,200312,48,2607
Rice: Total Stock,1,2004,200401,49,2362.1
Rice: Total Stock,2,2004,200402,50,2068
Rice: Total Stock,3,2004,200403,51,1857.7
Rice: Total Stock,4,2004,200404,52,2147.4
Rice: Total Stock,5,2004,200405,53,2338.7
Rice: Total Stock,6,2004,200406,54,1880.1
Rice: Total Stock,7,2004,200407,55,1577.4
Rice: Total Stock,8,2004,200408,56,1340.8
Rice: Total Stock,9,2004,200409,57,1189.1
Rice: Total Stock,10,2004,200410,58,1559.5
Rice: Total Stock,11,2004,200411,59,2289.8
Rice: Total Stock,12,2004,200412,60,2404.5
Rice: Total Stock,1,2005,200501,61,2050.9
Rice: Total Stock,2,2005,200502,62,1777.4
Rice: Total Stock,3,2005,200503,63,1455.6
Rice: Total Stock,4,2005,200504,64,1744.7
Rice: Total Stock,5,2005,200505,65,1999.2
Rice: Total Stock,6,2005,200506,66,1879.3
Rice: Total Stock,7,2005,200507,67,1638.2
Rice: Total Stock,8,2005,200508,68,1457.1
Rice: Total Stock,9,2005,200509,69,1308
Rice: Total Stock,10,2005,200510,70,1592.7
Rice: Total Stock,11,2005,200511,71,2255.3
Rice: Total Stock,12,2005,200512,72,2406.2
Rice: Total Stock,1,2006,200601,73,2094.3
Rice: Total Stock,2,2006,200602,74,1885.9
Rice: Total Stock,3,2006,200603,75,1719.9
Rice: Total Stock,4,2006,200604,76,2192.9
Rice: Total Stock,5,2006,200605,77,2422.5
Rice: Total Stock,6,2006,200606,78,2217.3
Rice: Total Stock,7,2006,200607,79,1960.1
Rice: Total Stock,8,2006,200608,80,1754.2
Rice: Total Stock,9,2006,200609,81,1649.5
Rice: Total Stock,10,2006,200610,82,1825.3
Rice: Total Stock,11,2006,200611,83,2435.2
Rice: Total Stock,12,2006,200612,84,2580.4
Rice: Total Stock,1,2007,200701,85,2253.1
Rice: Total Stock,2,2007,200702,86,1841.3
Rice: Total Stock,3,2007,200703,87,1588.6
Rice: Total Stock,4,2007,200704,88,1654.5
Rice: Total Stock,5,2007,200705,89,1893.5
Rice: Total Stock,6,2007,200706,90,1629.1
Rice: Total Stock,7,2007,200707,91,1529.1
Rice: Total Stock,8,2007,200708,92,1354.6
Rice: Total Stock,9,2007,200709,93,1135.8
Rice: Total Stock,10,2007,200710,94,1375.1
Rice: Total Stock,11,2007,200711,95,2038.3
Rice: Total Stock,12,2007,200712,96,2291.5
Rice: Total Stock,1,2008,200801,97,2172.3
Rice: Total Stock,2,2008,200802,98,1834.9
Rice: Total Stock,3,2008,200803,99,1688.7
Rice: Total Stock,4,2008,200804,100,1891.4
Rice: Total Stock,5,2008,200805,101,2265.4
Rice: Total Stock,6,2008,200806,102,2209.5
Rice: Total Stock,7,2008,200807,103,2185.2
Rice: Total Stock,8,2008,200808,104,1902.1
Rice: Total Stock,9,2008,200809,105,1923.1
Rice: Total Stock,10,2008,200810,106,2177.1
Rice: Total Stock,11,2008,200811,107,2937.8
Rice: Total Stock,12,2008,200812,108,2954.1
Rice: Total Stock,1,2009,200901,109,2638.6
Rice: Total Stock,2,2009,200902,110,2279
Rice: Total Stock,3,2009,200903,111,2167.7
Rice: Total Stock,4,2009,200904,112,2478.6
Rice: Total Stock,5,2009,200905,113,2683.9
Rice: Total Stock,6,2009,200906,114,2683.4
Rice: Total Stock,7,2009,200907,115,2776.3
Rice: Total Stock,8,2009,200908,116,2380.7
Rice: Total Stock,9,2009,200909,117,2322.2
Rice: Total Stock,10,2009,200910,118,2485.3
Rice: Total Stock,11,2009,200911,119,2958.6
Rice: Total Stock,12,2009,200912,120,2897.3
Rice: Total Stock,1,2010,201001,121,2629.1
Rice: Total Stock,2,2010,201002,122,2463.3
Rice: Total Stock,3,2010,201003,123,2251.9
Rice: Total Stock,4,2010,201004,124,2773.4
Rice: Total Stock,5,2010,201005,125,3322
Rice: Total Stock,6,2010,201006,126,3357.7
Rice: Total Stock,7,2010,201007,127,3353.5
Rice: Total Stock,8,2010,201008,128,3184.2
Rice: Total Stock,9,2010,201009,129,3034
Rice: Total Stock,10,2010,201010,130,3151.1
Rice: Total Stock,11,2010,201011,131,3794.6
Rice: Total Stock,12,2010,201012,132,3908
Rice: Total Stock,1,2011,201101,133,3424.3
Rice: Total Stock,2,2011,201102,134,3049.6
Rice: Total Stock,3,2011,201103,135,2853
Rice: Total Stock,4,2011,201104,136,3080.6
Rice: Total Stock,5,2011,201105,137,3396.5
Rice: Total Stock,6,2011,201106,138,3093.6
Rice: Total Stock,7,2011,201107,139,3021.8
Rice: Total Stock,8,2011,201108,140,2720.4
Rice: Total Stock,9,2011,201109,141,2415.2
Rice: Total Stock,10,2011,201110,142,2739.2
Rice: Total Stock,11,2011,201111,143,3216.8
Rice: Total Stock,12,2011,201112,144,3097.5
Rice: Total Stock,1,2012,201201,145,2627.4
Rice: Total Stock,2,2012,201202,146,2331.4
